agent_id,turn,moves_available
1,1,6
3,2,6
2,3,6
4,4,3
1,5,1
2,6,2
3,7,4
4,8,3
1,9,5
2,10,3
3,11,21
4,12,3
1,13,4
2,14,4
3,15,3
4,16,3
1,17,3
2,18,2
3,19,9
4,20,3
1,21,2
2,22,1
3,23,16
4,24,3
1,25,1
2,26,1
3,27,3
4,28,2
1,29,5
3,30,5
2,31,5
4,32,3
2,33,1
3,34,3
4,35,3
1,36,8
2,37,4
3,38,39
4,39,3
1,40,10
2,41,6
3,42,3
4,43,3
1,44,4
2,45,5
3,46,2
4,47,3
1,48,2
2,49,1
3,50,1
4,51,3
1,52,1
1,53,4
3,54,4
2,55,4
4,56,3
3,57,8
4,58,3
1,59,6
2,60,2
3,61,2
4,62,2
1,63,5
2,64,1
3,65,1
4,66,2
1,67,4
2,68,1
3,69,1
4,70,1
1,71,2
1,72,3
3,73,3
2,74,3
4,75,3
4,76,3
1,77,50
2,78,1
3,79,1
4,80,2
1,81,2
2,82,1
3,83,1
4,84,1
1,85,2
1,86,2
3,87,2
2,88,2
4,89,2
1,90,5
2,91,1
3,92,1
4,93,3
1,94,1
2,95,1
3,96,1
4,97,1
1,98,4
3,99,4
2,100,4
1,101,6
3,102,6
2,103,6
4,104,3
1,105,2
2,106,1
3,107,3
4,108,1
1,109,22
2,110,1
3,111,15
4,112,1
1,113,3
2,114,1
3,115,5
4,116,1
1,117,1
2,118,1
3,119,4
4,120,1
1,121,1
2,122,1
3,123,2
4,124,1
1,125,1
2,126,1
3,127,1
1,128,5
3,129,5
2,130,5
4,131,3
2,132,1
3,133,38
4,134,1
1,135,4
2,136,1
3,137,4
4,138,3
1,139,1
2,140,1
3,141,5
4,142,1
1,143,3
2,144,1
3,145,6
4,146,2
1,147,2
2,148,1
3,149,2
4,150,1
1,151,1
1,152,4
3,153,4
2,154,4
4,155,3
3,156,8
4,157,3
1,158,4
2,159,1
3,160,6
4,161,3
1,162,3
2,163,1
3,164,4
4,165,2
1,166,2
2,167,1
3,168,3
4,169,1
1,170,1
1,171,3
3,172,3
2,173,3
4,174,3
4,175,3
1,176,38
2,177,1
3,178,1
4,179,3
1,180,1
2,181,2
3,182,1
4,183,1
1,184,1
2,185,1
1,186,2
3,187,2
2,188,2
4,189,2
1,190,3
2,191,4
3,192,1
4,193,1
1,194,1
2,195,1
3,196,1
4,197,1
1,198,3
3,199,3
2,200,3
1,201,6
3,202,6
2,203,6
4,204,3
1,205,1
2,206,2
3,207,1
4,208,3
1,209,1
2,210,3
3,211,6
4,212,3
1,213,1
2,214,4
3,215,1
4,216,3
1,217,1
2,218,1
3,219,1
4,220,1
1,221,1
2,222,1
3,223,1
4,224,1
1,225,1
2,226,1
3,227,1
4,228,1
1,229,5
3,230,5
2,231,5
4,232,3
2,233,17
3,234,1
4,235,3
1,236,1
2,237,21
3,238,4
4,239,3
1,240,2
2,241,3
3,242,3
4,243,3
1,244,4
2,245,14
3,246,1
4,247,2
1,248,3
2,249,1
3,250,1
4,251,1
1,252,2
1,253,4
3,254,4
2,255,4
4,256,3
3,257,1
4,258,3
1,259,1
2,260,9
3,261,1
4,262,2
1,263,4
2,264,5
3,265,1
4,266,3
1,267,3
2,268,3
3,269,1
4,270,1
1,271,1
2,272,1
1,273,3
3,274,3
2,275,3
4,276,3
4,277,3
1,278,1
2,279,3
3,280,1
4,281,3
1,282,1
2,283,2
3,284,1
4,285,2
1,286,1
2,287,1
1,288,2
3,289,2
2,290,2
4,291,1
1,292,2
2,293,1
3,294,2
4,295,3
1,296,1
2,297,2
3,298,8
4,299,2
1,300,1
1,301,6
3,302,6
2,303,6
4,304,3
1,305,1
2,306,1
3,307,1
4,308,3
1,309,1
2,310,3
3,311,5
4,312,1
1,313,1
2,314,3
3,315,3
4,316,3
1,317,1
2,318,4
3,319,1
4,320,1
1,321,1
2,322,2
3,323,1
4,324,1
1,325,1
2,326,1
1,327,5
3,328,5
2,329,5
4,330,3
2,331,7
3,332,1
4,333,3
1,334,1
2,335,6
3,336,1
4,337,1
1,338,1
2,339,2
3,340,1
4,341,3
1,342,1
2,343,5
3,344,1
4,345,2
1,346,1
2,347,3
3,348,1
4,349,1
1,350,4
3,351,4
2,352,4
4,353,3
3,354,1
4,355,3
1,356,1
2,357,38
3,358,4
4,359,1
1,360,1
2,361,43
3,362,1
4,363,1
1,364,1
2,365,6
3,366,1
4,367,2
1,368,1
2,369,2
1,370,3
3,371,3
2,372,3
4,373,2
4,374,3
1,375,2
2,376,8
3,377,3
4,378,3
1,379,3
2,380,4
3,381,24
4,382,2
1,383,1
2,384,2
3,385,4
1,386,2
3,387,2
2,388,2
4,389,2
1,390,2
2,391,6
3,392,1
4,393,2
1,394,1
2,395,2
3,396,1
4,397,1
1,398,3
3,399,3
2,400,3
1,401,6
3,402,6
2,403,6
4,404,3
1,405,2
2,406,2
3,407,1
4,408,3
1,409,5
2,410,4
3,411,5
4,412,3
1,413,4
2,414,1
3,415,4
4,416,3
1,417,3
2,418,1
3,419,3
4,420,3
1,421,2
2,422,1
3,423,2
4,424,3
1,425,1
2,426,1
3,427,1
4,428,2
1,429,5
3,430,5
2,431,5
4,432,3
2,433,1
3,434,1
