game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
1,0,A,B,451,False,7,8,-525.4289062500001,-525.4289062500001,0.0,43.45095443725586,0.5421424508094788,0.662960623935753,69.05999230835319,0.0007710248984053474,1e-05,0.1,1.0,53,3,50,0,,,,
2,1,B,A,326,False,8,5,-520.70703125,-523.0679687500001,0.0,12.77203369140625,0.5956277251243591,0.641768865669385,62.66148068321661,0.0005320809973549489,1e-05,0.1,1.0,39,5,34,0,,,,
3,2,A,A,252,False,8,6,509.809375,-178.7755208333334,0.3333333333333333,1.7321373224258423,0.3039897680282593,0.7515029334102196,4.423863631756161,0.000423370849648478,1e-05,0.1,1.0,26,4,22,0,,,,
4,3,B,A,322,False,8,6,-511.6890625,-262.00390625,0.25,-1.1234376430511475,0.5621859431266785,0.6464148329882362,39.49197680124382,0.00040192671740746675,1e-05,0.1,1.0,47,4,43,0,,,,
5,0,A,A,268,False,8,5,503.4765625,-108.9078125,0.4,7.01343297958374,0.4679153561592102,0.6721910381165799,32.89589963614582,0.000368467349273756,1e-05,0.1,1.0,35,4,31,0,,,,
6,1,B,A,253,False,8,6,-504.1640625,-174.78385416666666,0.3333333333333333,-15.199203491210938,0.661160945892334,0.5578523653960131,86.27971674504903,0.00034617570251702903,1e-05,0.1,1.0,35,2,33,0,,,,
7,2,A,A,341,False,8,7,515.4,-76.18616071428572,0.42857142857142855,10.059865951538086,0.5522533655166626,0.6774932476417983,15.601036525745117,0.0003077260413019508,1e-05,0.1,1.0,34,5,29,0,,,,
8,3,B,B,229,False,5,8,508.8625,-3.0550781250000014,0.5,4.552428245544434,0.23361515998840332,0.7925530986394733,23.765718749837042,0.00027998485201319914,1e-05,0.1,1.0,24,3,21,0,,,,
9,0,A,B,275,False,5,8,-505.46328125,-58.878211805555566,0.4444444444444444,-3.533658981323242,0.7043401598930359,0.6134121869065011,13.856938295231048,0.00026843397072408444,1e-05,0.1,1.0,38,4,34,0,,,,
10,1,B,A,317,False,8,5,-538.9156250000001,-106.88195312500002,0.4,-15.69757080078125,0.5454967617988586,0.5332027721375597,46.016809523652675,0.00027645442459287993,1e-05,0.1,1.0,24,6,18,0,,,,
11,2,A,B,302,False,6,8,-519.021875,-144.34921875,0.36363636363636365,-22.343753814697266,0.4422367215156555,0.6975019012294069,53.6005730291009,0.00027854833121749927,1e-05,0.1,1.0,30,2,28,0,,,,
12,3,B,A,310,False,8,7,-502.8890625,-174.2275390625,0.3333333333333333,25.10384178161621,0.5642246007919312,0.6942666555326935,40.566333953585485,0.00026400930330837695,1e-05,0.1,1.0,37,2,35,0,,,,
